,id,status_group
32667,11921,functional
49699,15327,functional
5263,38215,non functional
5364,21619,non functional
37082,49950,non functional
56912,13246,non functional
46631,35449,non functional
30859,13546,functional
41841,20509,functional
36091,1900,functional
58739,18573,non functional
20122,6737,functional
39202,26637,functional
43296,43038,non functional
25744,50137,functional
19527,12389,functional
51533,29124,functional
57186,40877,non functional
47020,9797,functional
49910,7343,functional
32664,58234,functional
48304,30322,non functional
39345,6907,functional
49901,33115,functional
18511,70573,functional
3848,24575,functional
14891,48734,functional
5303,67522,functional needs repair
13134,19538,non functional
2003,70032,non functional
49174,59259,functional
18318,69553,non functional
23253,61211,non functional
41359,4440,non functional
13089,51636,functional
16979,31152,functional
34903,60877,non functional
16302,11114,non functional
8089,34008,functional needs repair
17620,24057,non functional
10756,72439,functional
34793,12491,non functional
43572,1897,functional needs repair
43187,61565,functional needs repair
56647,40488,functional
49037,23005,functional
32956,73588,functional
26960,54049,functional
26877,15361,non functional
46149,13124,non functional
40834,66535,non functional
15677,3147,functional
58378,33710,functional
46534,6487,functional
35654,43224,functional
12883,58757,non functional
35637,62671,non functional
22760,43052,non functional
43562,21504,functional
48544,57986,non functional
35102,26258,functional
37893,222,non functional
55163,39342,non functional
57544,67964,functional
520,12207,functional
1738,28287,non functional
44175,3874,functional
39760,43115,non functional
22108,33044,functional
50239,27383,non functional
29780,35704,functional needs repair
34095,41978,functional needs repair
6635,5040,non functional
9058,32693,functional
52009,55728,functional
20282,58511,non functional
46008,61357,functional
54391,55145,functional
48510,70863,non functional
12443,10805,functional
23270,36797,non functional
39500,46329,functional
35048,22343,functional
31224,1128,non functional
54885,71553,functional
11592,1451,non functional
23495,53814,functional
49202,10586,functional needs repair
33040,73391,non functional
25486,66718,functional needs repair
9898,23433,functional
19885,5570,functional
55662,20405,non functional
19126,49151,functional
44766,38497,functional
48475,40182,functional
32765,70231,functional
19567,48659,functional
13934,27136,non functional
27785,14291,functional
56269,57367,functional
5189,33843,functional needs repair
48888,40996,functional
39246,28337,non functional
56582,54630,functional
16861,11933,functional
29404,28280,non functional
4474,31542,functional
7482,55311,functional
42509,48108,functional
48147,35528,functional
10549,4192,functional
54150,11860,non functional
53372,36226,non functional
44863,4333,non functional
56343,60207,functional
10084,11967,functional
51238,27418,non functional
13880,40455,functional
33188,69861,non functional
11102,63392,functional
1632,34308,non functional
48033,13904,functional
8011,25090,functional
36165,53622,non functional
9145,59729,functional
1888,46705,non functional
19017,39600,functional
55764,55704,functional
8549,65941,non functional
51299,10650,functional
7529,37096,functional
4707,39681,functional
25545,8609,non functional
42239,52921,functional
22192,67103,functional
18299,54257,non functional
52223,33307,non functional
58288,28160,functional
8603,68329,functional
57320,48931,functional
36706,48865,functional
25522,46852,functional needs repair
54500,63625,non functional
6233,69326,functional
34647,58795,non functional
44680,56108,non functional
57751,45839,non functional
6983,4592,non functional
12180,43048,functional
38023,60477,functional
36517,11122,non functional
35910,34776,non functional
18090,69997,non functional
32655,50301,non functional
47508,30347,non functional
20443,38819,non functional
2072,26074,functional
38296,26356,functional
24026,42422,non functional
35843,45419,non functional
38839,23801,functional
45243,45765,non functional
13065,46748,non functional
34598,24749,non functional
3070,62005,functional
11326,49348,functional
10199,32332,functional
30749,22026,non functional
30103,34159,functional
19284,2290,non functional
11076,12043,non functional
51974,10674,functional
35565,38360,non functional
20428,44247,non functional
23627,7330,functional
37486,24394,functional
14046,38133,functional
7287,34217,functional
57144,31982,non functional
42329,13780,functional
40924,11968,non functional
26454,73776,functional
36239,19190,functional
43633,17574,functional
6110,60458,functional
43623,2452,functional
32441,5011,non functional
22829,70533,functional
46050,66211,functional
49891,21501,non functional
52827,17888,non functional
9090,70314,functional
15961,13774,functional
18613,20284,functional
45946,14495,functional
1558,26797,functional
3605,33977,non functional
42915,14804,functional
48185,55013,functional needs repair
26218,32429,functional
43703,2015,non functional
57593,63721,functional needs repair
29575,1245,functional
30171,67262,functional
35405,40633,non functional
54888,19060,functional
34324,4571,non functional
46058,71827,functional
11096,37306,functional
14700,38206,functional
37457,47781,functional
16662,11544,non functional
2509,8204,functional
38976,48749,non functional
32244,59298,functional
32096,33420,functional
54005,44987,non functional
23417,59092,non functional
56641,61381,functional needs repair
4937,48737,functional
19301,10868,functional
51659,45274,functional
37043,68653,functional needs repair
3025,17227,non functional
572,6758,functional
42183,8603,functional needs repair
13324,52411,functional
17117,44625,non functional
54688,58754,functional needs repair
37606,38202,non functional
25593,65482,functional
10822,50597,functional
9236,24491,functional
58275,30070,non functional
52734,55926,functional
27571,13059,functional
42641,53003,functional
10016,55733,non functional
33633,47964,non functional
33410,6086,non functional
15250,39339,non functional
34816,10902,functional
22632,39265,non functional
29837,56378,functional
38611,6133,functional
25,22308,functional needs repair
34558,68919,non functional
49427,69562,functional
13223,31535,non functional
46790,27197,functional
53661,53527,functional
14541,19706,functional needs repair
41470,37194,non functional
44938,35601,functional
35285,37901,functional
600,23315,functional
36754,68769,functional
29602,45236,non functional
1101,10835,functional
44800,65940,non functional
31187,23238,non functional
47998,21763,functional
58654,64655,functional
42895,29636,functional needs repair
49858,71324,non functional
27532,40078,functional
41576,48086,functional needs repair
18830,33539,non functional
17168,20629,functional
49780,67622,functional
30028,68881,functional
15703,73991,functional needs repair
42126,68335,non functional
48806,21329,functional
26881,42299,non functional
26474,56295,functional
32309,70333,non functional
46139,20248,non functional
56575,51682,non functional
30426,23820,functional
49322,9459,functional
40992,4548,non functional
3604,12603,functional
3084,4620,functional
48559,6438,non functional
7496,70156,functional
54992,16397,functional
34321,44816,functional
55646,12882,functional
21488,43204,functional needs repair
22116,41982,functional
48139,28068,functional
20618,72136,non functional
44720,56084,functional
57958,22848,non functional
51852,59531,functional
45672,41062,non functional
27733,72661,non functional
10487,37716,functional needs repair
39074,64104,functional
46815,19740,functional
56085,53231,non functional
33925,24435,functional
22520,27541,non functional
50279,9265,functional
12133,43055,non functional
4043,66781,non functional
58052,23393,functional
31075,18168,non functional
8873,22033,non functional
2957,58987,functional
10844,62687,non functional
41665,39164,functional
3441,12081,functional
26350,53959,non functional
45235,51534,non functional
6337,45991,non functional
59386,34952,functional
7659,25005,functional
10660,46199,non functional
55907,836,functional
14955,28321,functional
16448,68743,functional
12724,7666,functional
20496,68791,non functional
41936,15261,functional
16326,37769,non functional
